precision,recall,f1-score,support,Fold
AN,88.0,85.0,87.0,27,0
AP,89.0,87.0,88.0,75,0
SD,95.0,65.0,77.0,31,0
CO,88.0,68.0,76.0,31,0
HA,92.0,89.0,90.0,37,0
micro avg,90.0,81.0,85.0,201,0
macro avg,90.0,79.0,84.0,201,0
weighted avg,90.0,81.0,85.0,201,0
samples avg,90.0,85.0,87.0,201,0
AN,82.0,93.0,87.0,30,1
AP,79.0,93.0,85.0,69,1
SD,95.0,83.0,89.0,24,1
CO,97.0,83.0,90.0,42,1
HA,91.0,82.0,86.0,38,1
micro avg,86.0,88.0,87.0,203,1
macro avg,89.0,87.0,88.0,203,1
weighted avg,87.0,88.0,87.0,203,1
samples avg,87.0,89.0,87.0,203,1
AN,86.0,89.0,87.0,35,2
AP,86.0,85.0,86.0,80,2
SD,74.0,74.0,74.0,23,2
CO,89.0,73.0,80.0,33,2
HA,87.0,77.0,82.0,35,2
micro avg,85.0,81.0,83.0,206,2
macro avg,84.0,79.0,82.0,206,2
weighted avg,85.0,81.0,83.0,206,2
samples avg,86.0,85.0,83.0,206,2
AN,100.0,87.0,93.0,30,3
AP,89.0,94.0,91.0,79,3
SD,81.0,88.0,84.0,24,3
CO,84.0,78.0,81.0,27,3
HA,95.0,90.0,92.0,39,3
micro avg,90.0,89.0,89.0,199,3
macro avg,90.0,87.0,88.0,199,3
weighted avg,90.0,89.0,89.0,199,3
samples avg,91.0,92.0,90.0,199,3
AN,74.0,90.0,81.0,29,4
AP,85.0,83.0,84.0,76,4
SD,75.0,50.0,60.0,24,4
CO,92.0,77.0,84.0,31,4
HA,100.0,88.0,93.0,32,4
micro avg,85.0,80.0,82.0,192,4
macro avg,85.0,77.0,81.0,192,4
weighted avg,86.0,80.0,82.0,192,4
samples avg,86.0,84.0,83.0,192,4
